CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix,Activity Cat
5459492/2021,nuamcentro-aguardandoanálise,0 days 21:03:55.167000,2021-06-10 13:49:50.657,0.8777,168.8464,169.7241,4,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído,nuamcentro-aguardandoanálise",111
5459492/2021,nuamcentro-redirecionado,168 days 19:48:29.278000,2021-11-26 09:38:04.657,168.8253,0.0211,169.8452,5,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído,nuamcentro-aguardandoanálise,nuamcentro-redirecionado",130
5459492/2021,nuamcentro-arquivado,0 days 00:30:25.690000,2021-11-26 10:08:45.625,0.0211,-0.0,169.8452,6,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído,nuamcentro-aguardandoanálise,nuamcentro-redirecionado,nuamcentro-arquivado",122
5471565/2021,cexatáguafria-protocolizado,0 days 00:00:00,2021-06-09 16:53:47.223,0.0,92.9268,-0.0,1,cexatáguafria-protocolizado,92
5471565/2021,cexatáguafria-aguardandodistribuição,0 days 00:00:00.005000,2021-06-09 16:53:47.228,0.0,92.9268,0.0002,2,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição",82
5471565/2021,cexatáguafria-distribuído,0 days 14:57:26.777000,2021-06-10 07:51:14.005,0.6232,92.3036,91.1971,3,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído",87
5471565/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:10.035000,2021-06-10 07:51:24.040,0.0001,92.3035,91.1972,4,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso",78
5471565/2021,cexatáguafria-redirecionado,1 days 02:33:08.481000,2021-06-11 10:24:26.496,1.1063,91.1972,92.3035,5,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado",94
5471565/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:12.201000,2021-06-11 10:24:44.722,0.0001,91.1971,92.3036,6,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso",78
5471565/2021,cexatáguafria-providenciado,91 days 04:43:29.713000,2021-09-10 15:08:14.435,91.1969,0.0002,92.9268,7,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-providenciado",93
